material_name,material name,metallic,roughness,metallicF0Factor,albedo,clearCoat_isEnabled,clearCoat_intensity,clearCoat_roughness,clearCoat_indexOfRefraction,clearCoat_isTintEnabled,tintColor,clearCoat_tintThickness
10_Nero,Nero,0,0.09,0,"0.0313725490196078, 0.0313725490196078, 0.0313725490196078",TRUE,1,0.15,1.46,FALSE,"1, 1, 1",1
16_Nero_Daytona,Nero Daytona,0.46,0.41,0.39,"0.01698805208925, 0.01698805208925, 0.01698805208925",TRUE,0.47,0,1.4,FALSE,"1, 1, 1",1
19_Nero_DS_1250,Nero DS 1250,0,0.06,2,"0, 0, 0",TRUE,0.5,0,1,FALSE,"1, 1, 1",1
41_Nero_Opaco,Nero Opaco,0,0.43,0,"0.0196078431372549, 0.0196078431372549, 0.0196078431372549",FALSE,1,1,1.14,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
163_Nero_Purosangue,Nero Purosangue,0,0.01,2,"0.01698805208925, 0.0179364333399502, 0.0253712769047345",TRUE,0.5,0.1,1,TRUE,"1, 0.819963705323527, 0.819963705323527",1
61_Nero_Stellato,Nero Stellato,0,0.1,0,"0.00392156862745098, 0.00392156862745098, 0.00392156862745098",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
109_Nuovo_Azzurro_La_Plata,Nuovo Azzurro La Plata,0,0.01,1,"0.311180499057984, 0.652370105410821, 0.722672453600254",TRUE,0.78,0,1,FALSE,"1, 1, 1",1
109_Nuovo_Azzurro_La_Plata_Opaco,Nuovo Azzurro La Plata Opaco,0,0.56,1,"0.23489525921588, 0.618685727498779, 0.701169501531402",FALSE,0.78,0,1,FALSE,"1, 1, 1",1
64_Rosso_70_Anni,Rosso 70 Anni,0,0.1,0.5,"0.701960784313725, 0, 0",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
53_Rosso_Barchetta,Rosso Barchetta,0.48,0.21,0,"0.470588235294117, 0.0392156862745098, 0.0470588235294117",FALSE,1,1,1.14,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
36_Rosso_Berlinetta,Rosso Berlinetta,0.8,0.6,1,"0.859173569658532, 0.127529777813422, 0.127529777813422",TRUE,1,0.01,2.05,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
29_Rosso_California,Rosso California,0,0.1,0.5,"0.270588235294117, 0.00392156862745098, 0.0117647058823529",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
03_Rosso_Corsa,Rosso Corsa,0,0.01,1,"0.652370105410821, 0.0220129949193365, 0",TRUE,0.71,0,1,FALSE,"1, 1, 1",1
04_Rosso_Corsa,Rosso Corsa,0,0.01,1,"0.650980392156862, 0, 0",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
04_Rosso_Corsa_met,Rosso Corsa met,0.7,0.51,0.7,"0.494117647058823, 0.00392156862745098, 0.00392156862745098",TRUE,0.51,0,1,FALSE,"1, 1, 1",1
02_Rosso_Dino,Rosso Dino,0,0,0.45,"0.619607843137254, 0.0431372549019607, 0",TRUE,1,0,1,FALSE,"1, 1, 1",1
161_Rosso_F1-75_Opaco,Rosso F1-75 Opaco,0.25,0.47,1,"0.45907989242416, 0.0199178384387857, 0.0199178384387857",TRUE,1,0.95,1.4,TRUE,"1, 0.0619074756054557, 0.00455975492252602",1
06_Rosso_Fiorano,Rosso Fiorano,0.8,0.51,0.8,"0.376470588235294, 0.00784313725490196, 0",TRUE,1,0,1.51,FALSE,"1, 1, 1",1
34_Rosso_Formula1_2007,Rosso Formula1 2007,0.62,0.22,0,"1, 0.0235294117647058, 0",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
35_Rosso_Fuoco,Rosso Fuoco,0.62,0.1,0,"1, 0.0117647058823529, 0",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
83_Rosso_Imola,Rosso Imola,0.8,0.5,1,"0.875137582365204, 0.0494334575559079, 0",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
164_Rosso_Le_Mans_Opaco,Rosso Le Mans Opaco,0,0.2,1,"1, 0.101145164209599, 0.0328759169483838",FALSE,1,0.95,1.4,TRUE,"1, 0.0619074756054557, 0.00455975492252602",1
130_Rosso_Magma,Rosso Magma,0.8,0.45,1.8,"0.722672453600254, 0.027755279978126, 0",TRUE,1,0,1.6,FALSE,"1, 1, 1",1
42_Rosso_Maranello,Rosso Maranello,0.8,0.2,1,"0.523443155214324, 0.113920933406332, 0.108711149979038",TRUE,1,0.01,1.51,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
33_Rosso_Monza,Rosso Monza,0,0.1,0.5,"0.529411764705882, 0, 0",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
05_Rosso_Mugello,Rosso Mugello,0,0,1.51,"0.207843137254901, 0, 0",TRUE,0.78,0,1.5,FALSE,"1, 1, 1",1
64_Rosso_Portofino,Rosso Portofino,0.77,0.46,0,"0.658823529411764, 0.0901960784313725, 0.0901960784313725",TRUE,1,0.01,1.51,TRUE,"0.874509803921568, 0.141176470588235, 0.156862745098039",6.2
03_Rosso_Scuderia,Rosso Scuderia,0,0,1.51,"0.650980392156862, 0.0235294117647058, 0",TRUE,0.78,0,1.5,FALSE,"1, 1, 1",1
04_Rosso_Scuderia,Rosso Scuderia,0,0,0.5,"0.650980392156862, 0.0235294117647058, 0",TRUE,1,0,1,FALSE,"1, 1, 1",1
54_Rubino_Micalizzato,Rubino Micalizzato,0.84,0.22,0,"0.211764705882352, 0.0470588235294117, 0.0470588235294117",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
114_Sanusilver,Sanusilver,0.85,0.5,1.8,"0.652370105410821, 0.652370105410821, 0.652370105410821",TRUE,1,0,1.6,FALSE,"1, 1, 1",1
65_Superfast_Opaco,Superfast Opaco,0.81,0.65,0.14,"0.376470588235294, 0.368627450980392, 0.368627450980392",FALSE,1,1,1.14,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
